30588,BARCFRPPXXX,Barclays bank plc
30628,CHASFRPPXXX,"JPMorgan Chase bank, National Association"
30748,LAZPFRCCXXX,Lazard frères banque
30758,UBSWFRPPXXX,UBS (France) S.A.
30788,NSMBFRPPXXX,Banque Neuflize OBC
31489,BSUIFRPPXXX,Crédit agricole corporate and investment bank
39996,AGRIFRPPXXX,Caisse Nationale de Crédit Agricole Mutuel - Organe Central du Réseau du Crédit Agricole Mutuel Code Créé pour les Besoins de la Commission Bancaire et de la DESM
10107,BREDFRPPXXX,BRED - Banque populaire
10128,BCITFRPPXXX,Intesa Sanpaolo SpA
10140,CCMRFR21XXX,Caisse de crédit municipal de Marseille
10188,BCHAFR21XXX,Banque Chalus
10206,AGRIFRCC802,Caisse régionale de crédit agricole mutuel du Nord Est
10207,CCBPFRPPMTG,Banque populaire Rives de Paris
10218,RABOFRPPXXX,Coöperatieve Rabobank U.A.
10228,LAYDFR2WXXX,Banque Laydernier
10268,COURFR2TXXX,Banque Courtois - successeurs de l'ancienne maison Courtois et Cie depuis 1760
10278,CMCIFRCPCEE,Caisse fédérale de crédit mutuel
10468,RALPFR2GXXX,Banque Rhône-Alpes - Groupe Crédit du Nord
10548,BSAVFR2CXXX,Banque de Savoie
10558,TARNFR2LXXX,Banque Tarneaud
10807,CCBPFRPPDJN,Banque populaire Bourgogne Franche-Comté
10907,CCBPFRPPBDX,Banque populaire Aquitaine Centre Atlantique
10918,CHDUFRPPXXX,Cholet Dupont
11006,AGRIFRCC810,Caisse régionale de crédit agricole mutuel de Champagne-Bourgogne
11188,RCINFRPPXXX,RCI Banque
11206,AGRIFRCC812,Caisse régionale de crédit agricole mutuel Nord Midi-Pyrénées
11210,RGFIFRPPXXX,Banque de réalisations de gestion et de financement - Régéfi
11238,SWILFRP1XXX,SwissLife banque privée
11306,AGRIFRCC813,Caisse régionale de crédit agricole mutuel d'Alpes-Provence
11307,CCBPFRPPCAS,CASDEN Banque Populaire
11438,HRFRFRP1XXX,Banque Hottinguer
11449,BDEIFRPPXXX,Banque Thémis
18169,CRESFRPPXXX,Crédit suisse (Luxembourg) S.A.
11518,SBOSFRP1XXX,State street banque S.A.
40398,BICFFRPPXXX,Banque internationale de commerce - BRED
40618,BOUSFRPPBDF,Boursorama
40978,BSPFFRPPXXX,Banque Palatine
41139,BRASFRPPXXX,Banco do Brasil AG
41219,BOFAFRPPXXX,Bank of America Merrill Lynch international limited
41249,BOTKFRCCXXX,The Bank of Tokyo - Mitsubishi UFJ Ltd
41329,PARBFRPHXXX,BNP Paribas securities services
41439,BCDMFRPPXXX,Banque Chaabi du Maroc
41539,AGRIFRP1ACF,CA Consumer Finance
41639,NBOKFRPPXXX,National bank of Kuwait (International) plc
41829,LICOFRPPXXX,Al Khaliji France
41919,BNPARERXPOR,BNP Paribas Réunion
42529,COFIFRCPXXX,Edmond de Rothschild (France)
42559,CCOPFRCPXXX,Crédit coopératif
42649,TRAVFRP1XXX,Banque Travelex S.A.
42799,MOEYFRPPMON,My Money Bank
42959,ELBAFRPPXXX,Electro Banque
43030,ALTRFRP1XXX,Banque Degroof Petercam France
43659,BESVFRPPYBF,Banque Espirito Santo et de la Vénétie
43789,SIFBFRP1FIT,Quilvest banque privée
43799,SIBLFRPPXXX,CA INDOSUEZ WEALTH (FRANCE)
43899,UBAFFRPPXXX,Union de banques arabes et françaises - U.B.A.F.
44269,BSIRFRPPXXX,Bank Saderat Iran
44729,BSCHFRPPXXX,Banco Santander SA
45539,CMCIFRCPCCM,Caisse centrale du crédit mutuel
45850,ODDOFRCPXXX,Oddo BHF SCA
50140,CMPCFRP1BDF,CMP-Banque
11668,BERLMCMCXXX,Edmond de Rothschild (Monaco)
11706,AGRIFRCC817,Caisse régionale de crédit agricole mutuel Charente-Maritime Deux-Sèvres
11833,ICBKFRPPXXX,Industrial and commercial bank of China (Europe) SA - ICBC (Europe) SA
11978,CMCIFRP1FAC,CM-CIC Factor
11999,UBSWMCMXXXX,Ubs (monaco) s.a.
12006,AGRIFRCC820,Caisse régionale de crédit agricole mutuel de la Corse
12179,BIARFRPPXXX,Banque BIA
12206,AGRIFRCC822,Caisse régionale de crédit agricole mutuel des Côtes-d'Armor
12240,AGFBFRCCXXX,Allianz banque
12249,BMCEFRPPXXX,BMCE Bank international plc
12280,SORMFR2NXXX,Socram banque
12406,AGRIFRCC824,Caisse régionale de crédit agricole mutuel Charente-Périgord (Crédit agricole Charente-Périgord)
12448,BAECMCMXXXX,Barclays bank plc monaco
12468,BCGEFR21XXX,Banque cantonale de Genève (France) S.A.
12506,AGRIFRCC825,Caisse régionale de crédit agricole mutuel de Franche-Comté
12518,KUTXFR21XXX,Kutxabank SA
12548,AXABFRPPXXX,Axa banque
12589,BBPIFRPPXXX,Banco BPI
12619,CGDIFRPPXXX,Caixa geral de depositos S.A.
12739,CFMOMCMXXXX,Credit foncier de monaco
11689,CITIFRPPSEC,CITIBANK EUROPE PUBLIC LIMITED COMPANY
16798,TRZOFR21XXX,Treezor SAS
14818,BREUFR22XXX,Unione di Banche Italiane S.p.A. (UBI BANCA)
000,BPOT BE B1,bpost bank
001,GEBA BE BB,BNP Paribas Fortis
002,GEBA BE BB,BNP Paribas Fortis
003,GEBA BE BB,BNP Paribas Fortis
004,GEBA BE BB,BNP Paribas Fortis
005,GEBA BE BB,BNP Paribas Fortis
006,GEBA BE BB,BNP Paribas Fortis
007,GEBA BE BB,BNP Paribas Fortis
008,GEBA BE BB,BNP Paribas Fortis
009,GEBA BE BB,BNP Paribas Fortis
010,GEBA BE BB,BNP Paribas Fortis
011,GEBA BE BB,BNP Paribas Fortis
012,GEBA BE BB,BNP Paribas Fortis
013,GEBA BE BB,BNP Paribas Fortis
014,GEBA BE BB,BNP Paribas Fortis
015,GEBA BE BB,BNP Paribas Fortis
016,GEBA BE BB,BNP Paribas Fortis
017,GEBA BE BB,BNP Paribas Fortis
018,GEBA BE BB,BNP Paribas Fortis
019,GEBA BE BB,BNP Paribas Fortis
020,GEBA BE BB,BNP Paribas Fortis
021,GEBA BE BB,BNP Paribas Fortis
022,GEBA BE BB,BNP Paribas Fortis
023,GEBA BE BB,BNP Paribas Fortis
024,GEBA BE BB,BNP Paribas Fortis
025,GEBA BE BB,BNP Paribas Fortis
026,GEBA BE BB,BNP Paribas Fortis
027,GEBA BE BB,BNP Paribas Fortis
028,GEBA BE BB,BNP Paribas Fortis
029,GEBA BE BB,BNP Paribas Fortis
030,GEBA BE BB,BNP Paribas Fortis
031,GEBA BE BB,BNP Paribas Fortis
032,GEBA BE BB,BNP Paribas Fortis
033,GEBA BE BB,BNP Paribas Fortis
034,GEBA BE BB,BNP Paribas Fortis
035,GEBA BE BB,BNP Paribas Fortis
036,GEBA BE BB,BNP Paribas Fortis
037,GEBA BE BB,BNP Paribas Fortis
038,GEBA BE BB,BNP Paribas Fortis
039,GEBA BE BB,BNP Paribas Fortis
040,GEBA BE BB,BNP Paribas Fortis
041,GEBA BE BB,BNP Paribas Fortis
042,GEBA BE BB,BNP Paribas Fortis
043,GEBA BE BB,BNP Paribas Fortis
044,GEBA BE BB,BNP Paribas Fortis
045,GEBA BE BB,BNP Paribas Fortis
046,GEBA BE BB,BNP Paribas Fortis
047,GEBA BE BB,BNP Paribas Fortis
048,GEBA BE BB,BNP Paribas Fortis
049,GEBA BE BB,BNP Paribas Fortis
050,GKCC BE BB,BELFIUS BANK
051,GKCC BE BB,BELFIUS BANK
052,GKCC BE BB,BELFIUS BANK
053,GKCC BE BB,BELFIUS BANK
054,GKCC BE BB,BELFIUS BANK
055,GKCC BE BB,BELFIUS BANK
056,GKCC BE BB,BELFIUS BANK
057,GKCC BE BB,BELFIUS BANK
058,GKCC BE BB,BELFIUS BANK
059,GKCC BE BB,BELFIUS BANK
060,GKCC BE BB,BELFIUS BANK
061,GKCC BE BB,BELFIUS BANK
062,GKCC BE BB,BELFIUS BANK
063,GKCC BE BB,BELFIUS BANK
064,GKCC BE BB,BELFIUS BANK
065,GKCC BE BB,BELFIUS BANK
066,GKCC BE BB,BELFIUS BANK
067,GKCC BE BB,BELFIUS BANK
068,GKCC BE BB,BELFIUS BANK
069,GKCC BE BB,BELFIUS BANK
070,GKCC BE BB,BELFIUS BANK
071,GKCC BE BB,BELFIUS BANK
072,GKCC BE BB,BELFIUS BANK
073,GKCC BE BB,BELFIUS BANK
074,GKCC BE BB,BELFIUS BANK
075,GKCC BE BB,BELFIUS BANK
076,GKCC BE BB,BELFIUS BANK
077,GKCC BE BB,BELFIUS BANK
078,GKCC BE BB,BELFIUS BANK
079,GKCC BE BB,BELFIUS BANK
080,GKCC BE BB,BELFIUS BANK
081,GKCC BE BB,BELFIUS BANK
082,GKCC BE BB,BELFIUS BANK
083,GKCC BE BB,BELFIUS BANK
084,GKCC BE BB,BELFIUS BANK
085,GKCC BE BB,BELFIUS BANK
086,GKCC BE BB,BELFIUS BANK
087,GKCC BE BB,BELFIUS BANK
088,GKCC BE BB,BELFIUS BANK
089,GKCC BE BB,BELFIUS BANK
090,GKCC BE BB,BELFIUS BANK
091,GKCC BE BB,BELFIUS BANK
092,GKCC BE BB,BELFIUS BANK
093,GKCC BE BB,BELFIUS BANK
094,GKCC BE BB,BELFIUS BANK
095,GKCC BE BB,BELFIUS BANK
096,GKCC BE BB,BELFIUS BANK
097,GKCC BE BB,BELFIUS BANK
098,GKCC BE BB,BELFIUS BANK
099,GKCC BE BB,BELFIUS BANK
100,NBBE BE BB 203,Nationale Bank van België
101,NBBE BE BB 203,Nationale Bank van België
102,nav,Uitwisselingscentrum en Verrekening (U.C.V.)
103,NICA BE BB,Crelan
104,NICA BE BB,Crelan
105,NICA BE BB,Crelan
106,NICA BE BB,Crelan
107,NICA BE BB,Crelan
108,NICA BE BB,Crelan
109,CTBK BE BX,Beobank
110,CTBK BE BX,Beobank
111,ABER BE 22,Bank J. Van Breda & C°
112,VRIJ,VRIJ
113,CTBK BE BX,Beobank
114,CTBK BE BX,Beobank
115,VRIJ,VRIJ
116,VRIJ,VRIJ
117,VRIJ,VRIJ
118,VRIJ,VRIJ
119,CTBK BE BX,Beobank
120,CTBK BE BX,Beobank
121,CTBK BE BX,Beobank
122,CTBK BE BX,Beobank
123,CTBK BE BX,Beobank
124,CTBK BE BX,Beobank
125,CPHB BE 75,Banque CPH
126,CPHB BE 75,Banque CPH
127,CTBK BE BX,Beobank
128,VRIJ,VRIJ
129,CTBK BE BX,Beobank
130,VRIJ,VRIJ
131,CTBK BE BX,Beobank
132,BNAG BE BB,Bank Nagelmackers
133,CTBK BE BX,Beobank
134,CTBK BE BX,Beobank
135,VRIJ,VRIJ
136,VRIJ,VRIJ
137,GEBA BE BB,BNP Paribas Fortis
138,NAP,Onbeschikbaar
139,VRIJ,VRIJ
140,GEBA BE BB,BNP Paribas Fortis
141,GEBA BE BB,BNP Paribas Fortis
142,GEBA BE BB,BNP Paribas Fortis
143,GEBA BE BB,BNP Paribas Fortis
144,GEBA BE BB,BNP Paribas Fortis
145,GEBA BE BB,BNP Paribas Fortis
146,GEBA BE BB,BNP Paribas Fortis
147,GEBA BE BB,BNP Paribas Fortis
148,GEBA BE BB,BNP Paribas Fortis
149,GEBA BE BB,BNP Paribas Fortis
150,BCMC BE BB,Bancontact - Mister Cash NV/SA
151,VRIJ,VRIJ
152,VRIJ,VRIJ
153,VRIJ,VRIJ
154,VRIJ,VRIJ
155,VRIJ,VRIJ
156,VRIJ,VRIJ
157,VRIJ,VRIJ
158,VRIJ,VRIJ
159,VRIJ,VRIJ
160,VRIJ,VRIJ
161,VRIJ,VRIJ
162,VRIJ,VRIJ
163,VRIJ,VRIJ
164,VRIJ,VRIJ
165,VRIJ,VRIJ
166,VRIJ,VRIJ
167,VRIJ,VRIJ
168,VRIJ,VRIJ
169,VRIJ,VRIJ
170,VRIJ,VRIJ
171,CPHB BE 75,
172,RABO BE 23,Coöperatieve Rabobank U.A.
173,RABO BE 23,Coöperatieve Rabobank U.A.
174,VRIJ,VRIJ
175,NAV,
176,BSCH BE BB RET,Santander Consumer Bank
177,VRIJ,VRIJ
178,COBA BE BX,Commerzbank
179,COBA BE BX,Commerzbank
180,VRIJ,VRIJ
181,VRIJ,VRIJ
182,VRIJ,VRIJ
183,BARB BE BB,Bank of Baroda
184,VRIJ,VRIJ
185,HBKA BE 22,Record Bank
186,VRIJ,VRIJ
187,VRIJ,VRIJ
188,VRIJ,VRIJ
189,SMBC BE BB,Sumitomo Mitsui Banking Corporation (SMBC)
190,CREG BE BB,
191,CREG BE BB,
192,CREG BE BB,
193,CREG BE BB,
194,CREG BE BB,
195,CREG BE BB,
196,CREG BE BB,
197,CREG BE BB,
198,CREG BE BB,
199,CREG BE BB,
200,GEBA BE BB,BNP Paribas Fortis
201,GEBA BE BB,BNP Paribas Fortis
202,GEBA BE BB,BNP Paribas Fortis
203,GEBA BE BB,BNP Paribas Fortis
204,GEBA BE BB,BNP Paribas Fortis
205,GEBA BE BB,BNP Paribas Fortis
206,GEBA BE BB,BNP Paribas Fortis
207,GEBA BE BB,BNP Paribas Fortis
208,GEBA BE BB,BNP Paribas Fortis
209,GEBA BE BB,BNP Paribas Fortis
210,GEBA BE BB,BNP Paribas Fortis
211,GEBA BE BB,BNP Paribas Fortis
212,GEBA BE BB,BNP Paribas Fortis
213,GEBA BE BB,BNP Paribas Fortis
214,GEBA BE BB,BNP Paribas Fortis
215,VRIJ,VRIJ
216,VRIJ,VRIJ
217,VRIJ,VRIJ
218,VRIJ,VRIJ
219,VRIJ,VRIJ
220,GEBA BE BB,BNP Paribas Fortis
221,GEBA BE BB,BNP Paribas Fortis
222,GEBA BE BB,BNP Paribas Fortis
223,GEBA BE BB,BNP Paribas Fortis
224,GEBA BE BB,BNP Paribas Fortis
225,GEBA BE BB,BNP Paribas Fortis
226,GEBA BE BB,BNP Paribas Fortis
227,GEBA BE BB,BNP Paribas Fortis
228,GEBA BE BB,BNP Paribas Fortis
229,GEBA BE BB,BNP Paribas Fortis
230,GEBA BE BB,BNP Paribas Fortis
231,GEBA BE BB,BNP Paribas Fortis
232,GEBA BE BB,BNP Paribas Fortis
233,GEBA BE BB,BNP Paribas Fortis
234,GEBA BE BB,BNP Paribas Fortis
235,GEBA BE BB,BNP Paribas Fortis
236,GEBA BE BB,BNP Paribas Fortis
237,GEBA BE BB,BNP Paribas Fortis
238,GEBA BE BB,BNP Paribas Fortis
239,GEBA BE BB,BNP Paribas Fortis
240,GEBA BE BB,BNP Paribas Fortis
241,GEBA BE BB,BNP Paribas Fortis
242,GEBA BE BB,BNP Paribas Fortis
243,GEBA BE BB,BNP Paribas Fortis
244,GEBA BE BB,BNP Paribas Fortis
245,GEBA BE BB,BNP Paribas Fortis
246,GEBA BE BB,BNP Paribas Fortis
247,GEBA BE BB,BNP Paribas Fortis
248,GEBA BE BB,BNP Paribas Fortis
249,GEBA BE BB,BNP Paribas Fortis
250,GEBA BE BB,BNP Paribas Fortis
251,GEBA BE BB,BNP Paribas Fortis
252,GEBA BE BB,BNP Paribas Fortis
253,GEBA BE BB,BNP Paribas Fortis
254,GEBA BE BB,BNP Paribas Fortis
255,GEBA BE BB,BNP Paribas Fortis
256,GEBA BE BB,BNP Paribas Fortis
257,GEBA BE BB,BNP Paribas Fortis
258,GEBA BE BB,BNP Paribas Fortis
259,GEBA BE BB,BNP Paribas Fortis
260,GEBA BE BB,BNP Paribas Fortis
261,GEBA BE BB,BNP Paribas Fortis
262,GEBA BE BB,BNP Paribas Fortis
263,GEBA BE BB,BNP Paribas Fortis
264,GEBA BE BB,BNP Paribas Fortis
265,GEBA BE BB,BNP Paribas Fortis
266,GEBA BE BB,BNP Paribas Fortis
267,GEBA BE BB,BNP Paribas Fortis
268,GEBA BE BB,BNP Paribas Fortis
269,GEBA BE BB,BNP Paribas Fortis
270,GEBA BE BB,BNP Paribas Fortis
271,GEBA BE BB,BNP Paribas Fortis
272,GEBA BE BB,BNP Paribas Fortis
273,GEBA BE BB,BNP Paribas Fortis
274,GEBA BE BB,BNP Paribas Fortis
275,GEBA BE BB,BNP Paribas Fortis
276,GEBA BE BB,BNP Paribas Fortis
277,GEBA BE BB,BNP Paribas Fortis
278,GEBA BE BB,BNP Paribas Fortis
279,GEBA BE BB,BNP Paribas Fortis
280,GEBA BE BB,BNP Paribas Fortis
281,GEBA BE BB,BNP Paribas Fortis
282,GEBA BE BB,BNP Paribas Fortis
283,GEBA BE BB,BNP Paribas Fortis
284,GEBA BE BB,BNP Paribas Fortis
285,GEBA BE BB,BNP Paribas Fortis
286,GEBA BE BB,BNP Paribas Fortis
287,GEBA BE BB,BNP Paribas Fortis
288,GEBA BE BB,BNP Paribas Fortis
289,GEBA BE BB,BNP Paribas Fortis
290,GEBA BE BB,BNP Paribas Fortis
291,GEBA BE BB,BNP Paribas Fortis
292,GEBA BE BB,BNP Paribas Fortis
293,GEBA BE BB,BNP Paribas Fortis
294,GEBA BE BB,BNP Paribas Fortis
295,GEBA BE BB,BNP Paribas Fortis
296,GEBA BE BB,BNP Paribas Fortis
297,GEBA BE BB,BNP Paribas Fortis
298,GEBA BE BB,BNP Paribas Fortis
299,BPOT BE B1,bpost bank
300,BBRU BE BB,ING België
301,BBRU BE BB,ING België
302,BBRU BE BB,ING België
303,BBRU BE BB,ING België
304,BBRU BE BB,ING België
305,BBRU BE BB,ING België
306,BBRU BE BB,ING België
307,BBRU BE BB,ING België
308,BBRU BE BB,ING België
309,BBRU BE BB,ING België
310,BBRU BE BB,ING België
311,BBRU BE BB,ING België
312,BBRU BE BB,ING België
313,BBRU BE BB,ING België
314,BBRU BE BB,ING België
315,BBRU BE BB,ING België
316,BBRU BE BB,ING België
317,BBRU BE BB,ING België
318,BBRU BE BB,ING België
319,BBRU BE BB,ING België
320,BBRU BE BB,ING België
321,BBRU BE BB,ING België
322,BBRU BE BB,ING België
323,BBRU BE BB,ING België
324,BBRU BE BB,ING België
